Order,Carrier,Cost_USD,TPT_Days,Mode,Rate_Kg
220,V444_0,1.4992,3,AIR,0.0484
221,V444_0,1.4992,3,AIR,0.0484
222,V444_0,1.4992,3,AIR,0.0484
223,V444_0,1.4992,3,AIR,0.0484
224,V444_4,1.396,1,AIR,0.396
225,V444_0,1.4992,3,AIR,0.0484
226,V444_0,1.4992,3,AIR,0.0484
227,V444_4,1.396,1,AIR,0.396
228,V444_4,3.515560089294307,1,AIR,0.784
229,V444_0,1.4992,3,AIR,0.0484
230,V444_4,1.5899999999999999,1,AIR,0.59
231,V444_4,1.4928,1,AIR,0.4928
232,V444_0,1.4992,3,AIR,0.0484
233,V444_0,1.4992,3,AIR,0.0484
234,V444_0,1.4992,3,AIR,0.0484
235,V444_4,2.1731795449265197,1,AIR,0.6872
236,V444_4,1.5899999999999999,1,AIR,0.59
237,V444_0,1.4992,3,AIR,0.0484
238,V444_0,1.4992,3,AIR,0.0484
239,V444_0,1.4992,3,AIR,0.0484
240,V444_0,4.329864,3,AIR,0.0484
241,V444_0,1.4992,3,AIR,0.0484
242,V444_0,3.4552,3,AIR,0.0824
243,V444_0,1.4992,3,AIR,0.0484
244,V444_0,1.4992,3,AIR,0.0484
245,V444_4,1.4928,1,AIR,0.4928
246,V444_0,2.270928,3,AIR,0.0484
247,V444_0,1.4992,3,AIR,0.0484
248,V444_0,1.4992,3,AIR,0.0484
249,V444_0,1.4992,3,AIR,0.0484
250,V444_0,1.4992,3,AIR,0.0484
251,V444_0,1.4992,3,AIR,0.0484
252,V444_0,1.4992,3,AIR,0.0484
253,V444_0,1.4992,3,AIR,0.0484
254,V444_0,1.4992,3,AIR,0.0484
255,V444_0,1.4992,3,AIR,0.0484
256,V444_0,1.4992,3,AIR,0.0484
257,V444_0,1.4992,3,AIR,0.0484
258,V444_0,14.746745022792819,3,AIR,0.0424
259,V444_4,1.5415999999999999,1,AIR,0.5416
260,V444_0,3.4552,3,AIR,0.0824
261,V444_0,1.4992,3,AIR,0.0484
262,V444_0,1.4992,3,AIR,0.0484
263,V444_0,5.2400463570684925,3,AIR,0.0424
264,V444_0,1.4992,3,AIR,0.0484
265,V444_0,1.4992,3,AIR,0.0484
266,V444_0,1.4992,3,AIR,0.0484
267,V444_0,1.4992,3,AIR,0.0484
268,V444_0,3.4552,3,AIR,0.0824
269,V444_0,1.4992,3,AIR,0.0484
270,V444_0,3.4552,3,AIR,0.0824
271,V444_0,1.4992,3,AIR,0.0484
272,V444_0,1.4992,3,AIR,0.0484
273,V444_0,1.4992,3,AIR,0.0484
274,V444_4,2.2094053933452735,1,AIR,0.6872
275,V444_4,5.440589703952426,1,AIR,0.8787999999999999
276,V444_0,1.4992,3,AIR,0.0484
277,V444_0,1.4992,3,AIR,0.0484
278,V444_4,1.5899999999999999,1,AIR,0.59
279,V444_0,1.4992,3,AIR,0.0484
280,V444_0,1.4992,3,AIR,0.0484
281,V444_0,1.4992,3,AIR,0.0484
282,V444_0,1.4992,3,AIR,0.0484
283,V444_0,1.4992,3,AIR,0.0484
284,V444_0,3.4552,3,AIR,0.0824
285,V444_4,1.4447999999999999,1,AIR,0.4448
286,V444_4,6.4974,1,AIR,0.91
287,V444_0,1.4992,3,AIR,0.0484
288,V444_0,1.4992,3,AIR,0.0484
289,V444_0,1.4992,3,AIR,0.0484
290,V444_0,1.4992,3,AIR,0.0484
291,V444_0,1.4992,3,AIR,0.0484
292,V444_0,3.4552,3,AIR,0.0824
293,V444_0,1.4992,3,AIR,0.0484
294,V444_0,1.4992,3,AIR,0.0484
295,V444_0,1.4992,3,AIR,0.0484
296,V444_0,1.4992,3,AIR,0.0484
297,V444_0,1.4992,3,AIR,0.0484
298,V444_0,1.4992,3,AIR,0.0484
299,V444_0,1.4992,3,AIR,0.0484
300,V444_0,1.4992,3,AIR,0.0484
301,V444_0,3.4552,3,AIR,0.0824
302,V444_4,1.396,1,AIR,0.396
303,V444_0,3.4552,3,AIR,0.0824
304,V444_0,1.4992,3,AIR,0.0484
305,V444_4,4.32276,1,AIR,0.8476
306,V444_0,1.4992,3,AIR,0.0484
307,V444_0,1.4992,3,AIR,0.0484
308,V444_0,1.4992,3,AIR,0.0484
309,V444_0,1.4992,3,AIR,0.0484
310,V444_0,1.4992,3,AIR,0.0484
311,V444_0,1.4992,3,AIR,0.0484
312,V444_0,1.4992,3,AIR,0.0484
313,V444_4,1.5415999999999999,1,AIR,0.5416
314,V444_0,1.4992,3,AIR,0.0484
315,V444_4,1.71936765211991,1,AIR,0.6384
316,V444_0,1.4992,3,AIR,0.0484
317,V444_0,1.4992,3,AIR,0.0484
318,V444_0,1.4992,3,AIR,0.0484
319,V444_0,1.4992,3,AIR,0.0484
320,V444_0,3.4552,3,AIR,0.0824
321,V444_0,1.4992,3,AIR,0.0484
322,V444_0,1.4992,3,AIR,0.0484
323,V444_0,1.4992,3,AIR,0.0484
324,V444_0,3.4552,3,AIR,0.0824
325,V444_4,1.4447999999999999,1,AIR,0.4448
326,V444_0,1.4992,3,AIR,0.0484
327,V444_0,1.4992,3,AIR,0.0484
328,V444_4,3.3555200000000003,1,AIR,0.784
329,V444_0,1.4992,3,AIR,0.0484
330,V444_0,1.4992,3,AIR,0.0484
331,V444_4,1.5415999999999999,1,AIR,0.5416
332,V444_4,1.4928,1,AIR,0.4928
333,V444_0,1.4992,3,AIR,0.0484
334,V444_0,1.4992,3,AIR,0.0484
335,V444_0,1.4992,3,AIR,0.0484
336,V444_0,1.4992,3,AIR,0.0484
337,V444_4,1.4447999999999999,1,AIR,0.4448
338,V444_0,3.4552,3,AIR,0.0824
339,V444_0,3.4552,3,AIR,0.0824
340,V444_0,1.4992,3,AIR,0.0484
341,V444_0,1.4992,3,AIR,0.0484
342,V444_0,1.4992,3,AIR,0.0484
343,V444_0,1.4992,3,AIR,0.0484
344,V444_4,1.4928,1,AIR,0.4928
345,V444_0,14.048549904071628,3,AIR,0.0424
346,V444_0,1.4992,3,AIR,0.0484
347,V444_0,3.4552,3,AIR,0.0824
348,V444_0,1.4992,3,AIR,0.0484
349,V444_0,1.4992,3,AIR,0.0484
350,V444_0,1.4992,3,AIR,0.0484
351,V444_0,1.4992,3,AIR,0.0484
352,V444_0,1.4992,3,AIR,0.0484
353,V444_0,117.67382735556633,0,GROUND,12.2784
354,V444_0,1.4992,3,AIR,0.0484
355,V444_0,1.4992,3,AIR,0.0484
356,V444_0,1.4992,3,AIR,0.0484
357,V444_0,1.4992,3,AIR,0.0484
358,V444_0,3.4552,3,AIR,0.0824
359,V444_0,1.4992,3,AIR,0.0484
360,V444_4,3.800202518653589,1,AIR,0.8320000000000001
361,V444_0,1.4992,3,AIR,0.0484
362,V444_0,1.4992,3,AIR,0.0484
363,V444_0,2.388056,3,AIR,0.0484
364,V444_0,1.4992,3,AIR,0.0484
365,V444_4,1.5899999999999999,1,AIR,0.59
366,V444_0,1.4992,3,AIR,0.0484
367,V444_0,1.4992,3,AIR,0.0484
368,V444_0,1.4992,3,AIR,0.0484
369,V444_0,3.4552,3,AIR,0.0824
370,V444_0,3.4552,3,AIR,0.0824
371,V444_0,1.4992,3,AIR,0.0484
372,V444_0,1.4992,3,AIR,0.0484
373,V444_0,1.4992,3,AIR,0.0484
374,V444_0,1.4992,3,AIR,0.0484
375,V444_0,1.4992,3,AIR,0.0484
376,V444_0,1.4992,3,AIR,0.0484
377,V444_4,1.396,1,AIR,0.396
378,V444_0,1.4992,3,AIR,0.0484
379,V444_0,1.4992,3,AIR,0.0484
380,V444_0,1.4992,3,AIR,0.0484
381,V444_0,1.4992,3,AIR,0.0484
382,V444_0,12.04085143617254,3,AIR,0.0424
383,V444_0,1.4992,3,AIR,0.0484
384,V444_0,1.4992,3,AIR,0.0484
385,V444_0,3.4552,3,AIR,0.0824
386,V444_0,1.4992,3,AIR,0.0484
387,V444_4,1.4447999999999999,1,AIR,0.4448
388,V444_0,1.4992,3,AIR,0.0484
389,V444_0,1.4992,3,AIR,0.0484
390,V444_0,3.4552,3,AIR,0.0824
391,V444_0,1.4992,3,AIR,0.0484
392,V444_0,1.4992,3,AIR,0.0484
393,V444_4,1.8219672797644093,1,AIR,0.6384
394,V444_0,1.4992,3,AIR,0.0484
395,V444_0,1.9378753016169576,3,AIR,0.0484
396,V444_0,1.4992,3,AIR,0.0484
397,V444_0,1.4992,3,AIR,0.0484
398,V444_4,5.981633039382943,1,AIR,0.8944
399,V444_0,1.4992,3,AIR,0.0484
400,V444_4,1.4447999999999999,1,AIR,0.4448
401,V444_0,1.4992,3,AIR,0.0484
402,V444_0,1.4992,3,AIR,0.0484
403,V444_0,1.4992,3,AIR,0.0484
404,V444_4,1.4447999999999999,1,AIR,0.4448
405,V444_4,1.5415999999999999,1,AIR,0.5416
406,V444_0,3.4552,3,AIR,0.0824
407,V444_0,1.4992,3,AIR,0.0484
408,V444_0,1.4992,3,AIR,0.0484
409,V444_0,1.4992,3,AIR,0.0484
410,V444_0,1.4992,3,AIR,0.0484
411,V444_0,1.4992,3,AIR,0.0484
412,V444_0,1.4992,3,AIR,0.0484
413,V444_0,2.28106508448813,3,AIR,0.0484
414,V444_0,1.4992,3,AIR,0.0484
415,V444_0,1.4992,3,AIR,0.0484
416,V444_0,1.4992,3,AIR,0.0484
417,V444_0,1.4992,3,AIR,0.0484
418,V444_0,1.4992,3,AIR,0.0484
419,V444_0,1.4992,3,AIR,0.0484
420,V444_0,2.472758715607595,3,AIR,0.0484
421,V444_0,2.5183834272090335,3,AIR,0.0484
422,V444_4,1.5415999999999999,1,AIR,0.5416
423,V444_4,2.1731795449265197,1,AIR,0.6872
424,V444_0,1.4992,3,AIR,0.0484
425,V444_4,4.809270378836557,1,AIR,0.8632
426,V444_0,3.4552,3,AIR,0.0824
427,V444_4,1.7468085094648749,1,AIR,0.6384
428,V444_0,1.50004319042593,3,AIR,0.0484
429,V444_0,58.836913677783166,0,GROUND,12.2784
430,V444_0,2.7036239999999996,3,AIR,0.0484
431,V444_0,1.4992,3,AIR,0.0484
432,V444_0,3.989810094513369,3,AIR,0.0484
